

epoch 0:, l1_batch=3399.387451,	l2_pixel:0.000212
epoch 1:, l1_batch=3386.356201,	l2_pixel:0.000210
epoch 2:, l1_batch=3350.423340,	l2_pixel:0.000206
epoch 3:, l1_batch=3352.541260,	l2_pixel:0.000206
epoch 4:, l1_batch=3349.707275,	l2_pixel:0.000206
epoch 5:, l1_batch=3331.895264,	l2_pixel:0.000203
epoch 6:, l1_batch=3333.048584,	l2_pixel:0.000203
epoch 7:, l1_batch=3324.581299,	l2_pixel:0.000203
epoch 8:, l1_batch=3320.871338,	l2_pixel:0.000203
epoch 9:, l1_batch=3323.463379,	l2_pixel:0.000202
epoch 10:, l1_batch=3305.029297,	l2_pixel:0.000201
epoch 11:, l1_batch=3307.240479,	l2_pixel:0.000201
epoch 12:, l1_batch=3299.713135,	l2_pixel:0.000200
epoch 13:, l1_batch=3301.111572,	l2_pixel:0.000200
epoch 14:, l1_batch=3293.665771,	l2_pixel:0.000200
epoch 15:, l1_batch=3293.248779,	l2_pixel:0.000199
epoch 16:, l1_batch=3289.097412,	l2_pixel:0.000199
epoch 17:, l1_batch=3289.855957,	l2_pixel:0.000199
epoch 18:, l1_batch=3282.139404,	l2_pixel:0.000199
epoch 19:, l1_batch=3284.484131,	l2_pixel:0.000199
epoch 20:, l1_batch=3279.689697,	l2_pixel:0.000198
epoch 21:, l1_batch=3277.294678,	l2_pixel:0.000198
epoch 22:, l1_batch=3276.954346,	l2_pixel:0.000198
epoch 23:, l1_batch=3274.292480,	l2_pixel:0.000198
epoch 24:, l1_batch=3271.217041,	l2_pixel:0.000198
epoch 25:, l1_batch=3271.096191,	l2_pixel:0.000198
epoch 26:, l1_batch=3268.215820,	l2_pixel:0.000198
epoch 27:, l1_batch=3266.758545,	l2_pixel:0.000197
epoch 28:, l1_batch=3265.922607,	l2_pixel:0.000197
epoch 29:, l1_batch=3263.803955,	l2_pixel:0.000197
epoch 30:, l1_batch=3262.793945,	l2_pixel:0.000197
epoch 31:, l1_batch=3261.697998,	l2_pixel:0.000197
epoch 32:, l1_batch=3259.668213,	l2_pixel:0.000197
epoch 33:, l1_batch=3258.795166,	l2_pixel:0.000197
epoch 34:, l1_batch=3257.595947,	l2_pixel:0.000196
epoch 35:, l1_batch=3256.249756,	l2_pixel:0.000196
epoch 36:, l1_batch=3255.428467,	l2_pixel:0.000196
epoch 37:, l1_batch=3253.915283,	l2_pixel:0.000196
epoch 38:, l1_batch=3252.920898,	l2_pixel:0.000196
epoch 39:, l1_batch=3252.109863,	l2_pixel:0.000196
epoch 40:, l1_batch=3250.944824,	l2_pixel:0.000196
epoch 41:, l1_batch=3249.887207,	l2_pixel:0.000196
epoch 42:, l1_batch=3249.210205,	l2_pixel:0.000196
epoch 43:, l1_batch=3247.963379,	l2_pixel:0.000196
epoch 44:, l1_batch=3247.094727,	l2_pixel:0.000195
epoch 45:, l1_batch=3246.328125,	l2_pixel:0.000195
epoch 46:, l1_batch=3245.454102,	l2_pixel:0.000195
epoch 47:, l1_batch=3244.514160,	l2_pixel:0.000195
epoch 48:, l1_batch=3243.748047,	l2_pixel:0.000195
epoch 49:, l1_batch=3242.999512,	l2_pixel:0.000195
